x,y
3382.979718583213,3503.056891025641
3440.3689471130524,3508.666987179488
3787.356881772603,3122.2310897435905
2559.561442665373,3650.4753205128204
2794.715316189552,2594.377243589744
3766.1170305676865,4050.8551282051285
3653.2619763868674,3902.097275641025
4348.309299692707,4831.299038461539
3440.1956978812877,3037.008333333333
4366.853695617016,4520.38685897436
3932.727284489731,3346.259134615385
3982.3976710334796,3156.036378205128
4210.3852498787,4280.452884615384
4054.9369561701446,3970.445993589744
3951.3431667475347,3651.0193910256407
4040.913019569788,3807.7677884615387
3292.632767265082,3853.4315705128206
2988.9562995309725,3457.5142628205135
2578.954423419053,3034.4775641025644
4049.513245997089,2956.3625000000006
3352.6552159146045,2199.7365384615387
3340.675788452208,2187.707532051282
3393.648843603429,2187.5751602564105
3028.9617337861882,2333.9424679487183
3059.688241953744,4048.383814102564
1195.6619116933523,4521.577083333334
3616.970467410642,4081.6158653846155
3683.595730228045,3989.674679487179
4043.0735888727154,3108.5350961538466
2788.028400452855,2921.682211538462
1152.0,2690.0
3238.0,1761.0
2017.0,1307.0
3658.0,3453.0
1250.0,2675.0
2836.0,1497.0
1510.0,1316.0
3646.0,3048.0
1613.0,1364.0
3006.0,2316.0
